description,iqfeed_roots,ib_root,symbol_exchange,commission_ratio,commission,tick_value,tick_price,size,rough_price,contract_value,init_margin,maintain_margin
S&P 500 E-Mini,@ES ,ES,GLOBEX,1.478E-05,2.1,12.5,0.25,50,2841,142050,13200,12000
S&P 500 E-micro,@MES,MES,GLOBEX,3.309E-05,0.47,1.25,0.25,5,2841,14205,1320,1200
Nasdaq 100 E-micro,@MNQ,MNQ,GLOBEX,2.6E-05,0.47,0.5,0.25,2,9038,18076,1652.81,1502.55
Dow Futures micro,@MYM,MYM,CBT,1.992E-05,0.47,0.5,0.5,1,23597,23597,3608,3137.39
Russell 2000 E-micro,@M2K,M2K,GLOBEX,7.478E-05,0.47,0.5,0.1,5,1257,6285,980.45,784.36
Gold micro,QMGC,MGC,NYMEX,2.809E-05,0.48,1,0.1,10,1709,17090,1494,1195.2
Crude Oil WTI mini,@QM,QM,NYMEX,0.00010895,2.07,12.5,0.025,500,38,19000,5625,4500
Crude Oil WTI,@CL,CL,NYMEX,6.237E-05,2.37,10,0.01,1000,38,38000,11250,9000
Cocoa,@CC,CC,ICE,0.00012365,2.97,10,1,10,2402,24020,2527.5,2022
Cotton,@CT,CT,ICE,9.9E-05,2.97,5,0.0001,50000,0.6,30000,3532.5,2826
Coffee,@KC,KC,ICE,7.92E-05,2.97,18.75,0.0005,37500,1,37500,5062.5,4050
Sugar,@SB,SB,ICE,0.00026518,2.97,11.2,0.0001,112000,0.1,11200,1545,1931.25
Eurodollar,@EU,EUR,GLOBEX,1.764E-05,2.47,6.25,5E-05,125000,1.12,140000,5299.69,4239.75
Japanese Yen,@JY,JPY,GLOBEX,2.196E-05,2.47,6.25,5E-07,12500000,0.009,112500,4500,3600
British Pound,@BP,GBP,GLOBEX,3.112E-05,2.47,6.25,0.0001,62500,1.27,79375,4951.17,3960.94
Australian Dollar,@AD,AUD,GLOBEX,3.529E-05,2.47,10,0.0001,100000,0.7,70000,4455,3564
Canadian Dollar,@CD,CAD,GLOBEX,3.338E-05,2.47,5,5E-05,100000,0.74,74000,3236.38,2589.1
